,nonCO2_erf
1945,-0.3273920702908286
1946,0.03064011423886137
1947,-0.21597286218591888
1948,-0.32865927976131876
1949,0.03142796981682561
1950,0.4161092400042288
1951,0.012291001883737773
1952,0.0421520404546365
1953,0.30886680966653435
1954,0.4270985123182297
1955,-0.5369312013333176
1956,-0.4560766200957568
1957,0.3763054600498076
1958,0.7593420018739416
1959,0.13733893885722825
1960,-0.39603462684192864
1961,-0.07503273984472769
1962,0.12083374079534015
1963,-2.1202271768477945
1964,-2.3050260275210954
1965,-0.703998452607187
1966,0.33672840070487897
1967,-0.9741852583561291
1968,-0.2573814699999939
1969,-0.3201379077361288
1970,-0.9094549324481179
1971,-1.1496422165070523
1972,0.5551196121914175
1973,1.0207397289360205
1974,-0.16990751469326026
1975,0.0816236332725111
1976,-0.09648162144028904
1977,-0.2510145689789822
1978,-0.2154595545528155
1979,-0.032700212748219215
1980,1.106885680110453
1981,0.43374835969123104
1982,0.37163077374335396
1983,0.22804400846436512
1984,-0.667386959889791
1985,-0.5701143805372426
1986,0.3479368907446878
1987,0.7498346225126389
1988,0.3505187064661508
1989,-0.42809417522375126
1990,0.2301971447561295
1991,-0.4156158389909286
1992,-1.3151290584896436
1993,-0.46709764772301776
1994,-0.06944570820939133
1995,-0.2703370572999313
1996,-0.1825825157696639
1997,0.5875606965942559
1998,0.6335261438161526
1999,1.155703398686474
2000,1.1298266841793283
2001,0.6445320319898988
2002,0.907723034686748
2003,0.21787764587723468
2004,0.22008095426056595
2005,0.5027754897473298
2006,0.9524265032330921
2007,1.234834970322404
2008,0.6826521990145831
2009,-0.05173987133670277
2010,1.567221743048084
2011,0.7960172547430915
2012,0.44787195102806754
2013,0.8036331069353979
2014,1.1067071687716545
2015,0.637392227776854
2016,0.5492439877042266
2017,0.44228544353038624
2018,0.2936272508376576
2019,1.1807716705747202
2020,1.4442677114303129
2021,1.000503858426316
2022,0.32681189993064663
2023,0.3970119508965846
2024,0.6937747740437756
2025,1.2089689167013615
2026,1.3488393053150385
2027,-0.06746673651654156
2028,0.8425847405571534
2029,1.1939817743975354
2030,1.4519293542592528
2031,1.030721313072796
2032,0.7818630709907564
2033,-0.04786654052656081
2034,-0.23966296308252621
2035,0.1525903173619363
2036,-0.16158940344154527
2037,0.46616414733791833
2038,0.22133435962052284
2039,0.44846793189645195
2040,0.7244852507806057
2041,0.8003385370116658
2042,0.8793352603595728
2043,1.4209646806664216
2044,1.1439455667420333
2045,0.8181750904808824
2046,0.17630921835719526
2047,0.6580964489256544
2048,1.0534753508433425
2049,1.7025444515947674
2050,0.8028291317068863
2051,0.16594955713359738
2052,0.7386348466392532
2053,1.0133816799394557
2054,1.1770095381867636
2055,-0.1653294069359621
2056,-0.03676905521183649
2057,0.7550123356146239
2058,0.6416755540504173
2059,1.2813222859223208
2060,1.0966557733939695
2061,0.6175899109779204
2062,0.21482036517240122
2063,0.4196588671101056
2064,1.04183181377954
2065,0.5810717365804203
2066,-0.12493515625067886
2067,1.0383314503810848
2068,1.1582114726377943
2069,0.2832613907817354
2070,0.24764842783183916
2071,0.6575682216571845
2072,0.9220228874564631
2073,0.3287843610109533
2074,0.21575074812944717
2075,0.7118590029881897
2076,1.0443732654929834
2077,0.7009138805443982
2078,-0.23722898463520314
2079,1.0275654914034575
2080,1.3760545704276606
2081,1.0636679517259657
2082,0.17671428702745784
2083,0.7621847085426219
2084,0.7548194674627258
2085,1.072123255456713
2086,0.3862467573379784
2087,-0.28714542708549606
2088,0.8974103935925726
2089,0.5235041085454455
2090,0.47777219188322206
2091,-0.0018199479878022728
2092,1.110780176069245
2093,1.4314745234578514
2094,-0.13814336448019793
2095,-0.27819531638023065
2096,0.7713990849891936
2097,0.5468372603383207
2098,0.8090276784343882
2099,0.6183207517536005
2100,0.4664491487795712
2101,0.04283027453319077
2102,0.34636646050631015
2103,1.2858607472517596
2104,0.4763424316982938
2105,0.00921523625202969
2106,0.497163076880184
2107,0.2401074909999923
2108,1.1629370112009108
2109,0.6466559840787784
2110,-0.009325051715446175
2111,0.14357445567725735
2112,1.3026037933238679
2113,1.386886816933572
2114,1.0746608104111366
2115,0.8704773943714037
2116,0.590475336781926
2117,0.6755512019962384
2118,0.40311289518119864
2119,0.9684181545235888
2120,0.6416895975292563
2121,0.2512212448774238
2122,0.8877840327698463
2123,0.9717068914076266
2124,1.292663951602063
2125,1.474691617082402
2126,0.7704490393052521
2127,-0.08878617699239033
2128,0.4805489328008119
2129,0.9464271503368309
2130,1.0463944655158848
2131,0.7930647457499163
2132,0.962683910909901
2133,0.8644382230018532
2134,1.2128676988760012
2135,1.5013282717898484
2136,0.02821694482953685
2137,-0.2925220629597005
2138,1.1343599224548064
2139,1.0543913404580312
2140,0.5717889287859761
2141,1.1961870592595065
2142,1.0671593541854614
2143,1.3664067386369902
2144,0.43200781659597953
2145,0.7854234269654545
2146,1.5055388265164051
2147,0.7539836779378155
2148,0.4093765019988467
2149,1.2209687321587253
2150,1.245518965533056
2151,0.7227943173050202
2152,0.5106092628952845
2153,1.2352920865896102
2154,1.0041843849784007
2155,1.3092462294214249
2156,0.9634887869579825
2157,1.085805508867695
2158,0.9598878601569856
2159,0.6270341510317821
2160,0.5989531860248529
2161,1.2503071004642747
2162,1.7362166053582286
2163,1.7648427809599285
2164,0.9876364956031753
2165,0.6775923827829988
2166,1.5329451594343193
2167,1.305510571316544
2168,1.4232816608277523
2169,1.135094677326059
2170,0.6109205469512253
2171,0.7081625962391223
2172,0.5468223165911275
2173,1.588382504901142
2174,1.5134443041324406
2175,1.3538164492556797
2176,0.8015062128140487
2177,0.7828344135575696
2178,0.6715147913913524
2179,1.3678486579256093
2180,1.1704307343577813
2181,0.8547020441902398
2182,0.2674132345467739
2183,0.327514390835721
2184,1.21464468579988
2185,1.2665654952630057
2186,1.207339015593042
2187,1.1517499928797788
2188,0.8280820394903343
2189,0.7116778415223293
2190,0.8722047450538732
2191,0.8688860616024701
2192,1.0554890073868777
2193,0.8222519286518415
2194,0.8066700824565036
2195,1.137231440055943
2196,1.451043240801089
2197,0.6055311744725023
2198,0.47928106700378437
2199,0.9913815072123813
2200,1.667603930083683
2201,1.5182750618386176
2202,0.8938624306361831
2203,0.3926799943358088
2204,-0.0681898723589367
2205,1.0212506735040947
2206,1.693463792694769
2207,1.8580402670335543
2208,1.6580586642431976
2209,1.4379622094149782
2210,0.908722264994553
2211,1.1654033513067994
2212,1.4516302244840666
2213,1.6049299473939778
2214,1.4726663866397771
2215,1.0836094055157357
2216,0.9074530514504218
2217,0.7374205336890014
2218,1.0250976065334503
2219,0.6949555515626211
2220,0.9773316711761182
2221,1.2588042373899044
2222,1.3240027815347355
2223,1.5658993810801647
2224,1.4383600827008216
2225,1.4663885868434834
2226,1.1568987625684517
2227,1.2849798066329792
2228,1.4707978033774571
2229,1.0066410204365406
2230,1.1301012983398013
2231,2.1076582803958237
2232,1.7896193534679024
2233,1.904218768997445
2234,1.0762469362291063
2235,1.2818557030066846
2236,1.7253524609493522
2237,1.257320470855776
2238,1.8021086383187084
2239,2.0621691261628623
2240,1.205243495010365
2241,1.484152246946754
2242,1.4501084095090016
2243,1.2110439139323137
2244,0.15991985554958754
2245,1.5959917341719587
2246,1.5400365277133052
2247,1.2622704953966162
2248,1.064904496388202
2249,1.3911279726407604
2250,1.9492349657823234
2251,1.8468732376986536
2252,1.8496714835222015
2253,1.631623478474104
2254,1.0231178936313572
2255,1.306997107932835
2256,2.112757323363194
2257,1.9625546203232869
2258,1.9639060875329946
2259,1.5537396434301085
2260,0.1437754795587718
2261,1.573695200655571
2262,2.3496790919540143
2263,1.390874337507256
2264,1.7719643469453743
2265,1.9975515655906095
2266,1.4169253103504236
2267,2.0115619750345233
2268,2.278867550275643
2269,1.9043810811834783
2270,1.399495190008993
2271,0.8331198411301179
2272,1.8389649811545017
2273,1.8063503902893872
2274,1.8106662927212442
2275,1.2897000263614173
2276,1.9485064207222633
2277,0.672097736110131
2278,1.2305014166486874
2279,2.2528236374458555
2280,2.0447977888252487
2281,1.3055990430396758
2282,1.5546235014506213
2283,1.839995095922722
2284,2.0780846105513455
2285,1.707514918139191
2286,0.8548062241223982
2287,2.1127017830621933
2288,1.804677878579391
2289,1.581019535972797
2290,1.9955496056935809
2291,2.056688676583419
2292,1.7999755708459175
2293,1.602756357886119
2294,0.41026966806704657
2295,1.447861562133188
2296,2.0857898509039456
2297,2.260529322655389
2298,1.8357865922516523
2299,2.0425864860083083
